timestamp,venue,symbol,best_bid,best_ask,spread,spread_pct,mid,bid_depth_1pct,ask_depth_1pct,imbalance_1pct,valid,error
1780295310377,hyperliquid,BTC,73170.00000000,73171.00000000,1.00000000,0.00136667,73170.50000000,5692110.25537000,5224898.95060000,0.04279664,true,
1780295311589,aster,BTCUSDT,73168.70000000,73168.80000000,0.10000000,0.00013667,73168.75000000,6554097.52140000,7698049.72410000,-0.08026525,true,
1780295313709,lighter,BTC,73155.00000000,73158.70000000,3.70000000,0.00505763,73156.85000000,43212550.10127301,38773687.17218696,0.05414156,true,
1780295318960,hyperliquid,BTC,73170.00000000,73171.00000000,1.00000000,0.00136667,73170.50000000,5885981.46223000,5426150.35989000,0.04064938,true,
1780295319799,aster,BTCUSDT,73168.70000000,73168.80000000,0.10000000,0.00013667,73168.75000000,6595991.91680000,7163176.60780000,-0.04122231,true,
1780295321518,lighter,BTC,73150.20000000,73150.50000000,0.30000000,0.00041011,73150.35000000,43125921.50503202,38968308.60040996,0.05064440,true,
1780295326566,hyperliquid,BTC,73170.00000000,73171.00000000,1.00000000,0.00136667,73170.50000000,2877580.02809000,9439299.50558000,-0.53274204,true,
1780295327569,aster,BTCUSDT,73157.80000000,73157.90000000,0.10000000,0.00013669,73157.85000000,6066170.79270000,8050826.54400000,-0.14058625,true,
1780295329154,lighter,BTC,73146.10000000,73146.20000000,0.10000000,0.00013671,73146.15000000,42708753.62761301,38469689.45272398,0.05221909,true,
1780295334156,hyperliquid,BTC,73157.00000000,73158.00000000,1.00000000,0.00136691,73157.50000000,7556923.38127000,9414687.62984000,-0.10946305,true,
1780295335224,aster,BTCUSDT,73157.70000000,73157.80000000,0.10000000,0.00013669,73157.75000000,6374103.81350000,9035972.70950000,-0.17273561,true,
1780295336839,lighter,BTC,73139.60000000,73144.80000000,5.20000000,0.00710944,73142.20000000,43190727.27611300,38900295.25619996,0.05226433,true,
1780296498830,hyperliquid,BTC,73000.00000000,73001.00000000,1.00000000,0.00136985,73000.50000000,4125307.49366000,5116160.97163000,-0.10721819,true,
1780296499943,aster,BTCUSDT,72993.60000000,72993.70000000,0.10000000,0.00013700,72993.65000000,7430485.71930000,6485771.71420000,0.06788564,true,
1780296501731,lighter,BTC,72997.30000000,72997.40000000,0.10000000,0.00013699,72997.35000000,53269490.93742298,42876879.56250698,0.10809156,true,
1780296506867,hyperliquid,BTC,73008.00000000,73009.00000000,1.00000000,0.00136970,73008.50000000,9071907.86479000,2598272.69181000,0.55471594,true,
1780296507792,aster,BTCUSDT,73006.00000000,73006.10000000,0.10000000,0.00013697,73006.05000000,7920298.95000000,5227914.66080000,0.20477187,true,
1780296510265,lighter,BTC,73016.40000000,73018.60000000,2.20000000,0.00301298,73017.50000000,52837987.67916799,42843457.12622900,0.10445631,true,
1780296515408,hyperliquid,BTC,73024.00000000,73025.00000000,1.00000000,0.00136940,73024.50000000,5355803.49351000,4665538.79044000,0.06887947,true,
1780296516488,aster,BTCUSDT,73020.50000000,73020.60000000,0.10000000,0.00013695,73020.55000000,6302018.95290000,6233334.63260000,0.00547925,true,
1780296518020,lighter,BTC,73023.30000000,73023.40000000,0.10000000,0.00013694,73023.35000000,52908633.81108200,42939772.97391599,0.10400654,true,
1780296522958,hyperliquid,BTC,73027.00000000,73028.00000000,1.00000000,0.00136935,73027.50000000,7568431.34164000,4555694.84995000,0.24849102,true,
1780296524072,aster,BTCUSDT,73028.20000000,73028.30000000,0.10000000,0.00013693,73028.25000000,6142010.95350000,6403433.28360000,-0.02083803,true,
1780296525909,lighter,BTC,73017.00000000,73023.80000000,6.80000000,0.00931247,73020.40000000,52948556.67182098,43082069.50751299,0.10274313,true,
1780296531166,hyperliquid,BTC,73027.00000000,73028.00000000,1.00000000,0.00136935,73027.50000000,6515214.56988000,5987687.45336000,0.04219237,true,
1780296531995,aster,BTCUSDT,73022.90000000,73023.00000000,0.10000000,0.00013694,73022.95000000,5936734.26600000,6669440.55300000,-0.05812281,true,
1780296533542,lighter,BTC,73013.50000000,73015.40000000,1.90000000,0.00260222,73014.45000000,53225437.62807199,43038751.76838700,0.10582010,true,
1780296538649,hyperliquid,BTC,73027.00000000,73028.00000000,1.00000000,0.00136935,73027.50000000,6712549.70462000,7331509.71093000,-0.04407273,true,
1780296539589,aster,BTCUSDT,73022.90000000,73023.80000000,0.90000000,0.00123248,73023.35000000,6381650.51920000,6600827.18310000,-0.01688250,true,
1780296541464,lighter,BTC,73025.00000000,73025.10000000,0.10000000,0.00013694,73025.05000000,49204942.52716102,37838627.57775697,0.13058190,true,
1780296546658,hyperliquid,BTC,73049.00000000,73050.00000000,1.00000000,0.00136893,73049.50000000,5936101.95369000,5785827.88403000,0.01281991,true,
1780296547511,aster,BTCUSDT,73047.10000000,73047.20000000,0.10000000,0.00013690,73047.15000000,6825718.51180000,6342874.96510000,0.03666630,true,
1780296549243,lighter,BTC,73055.20000000,73056.50000000,1.30000000,0.00177946,73055.85000000,41463706.63755397,40662179.18162300,0.00975974,true,
1780296554245,hyperliquid,BTC,73068.00000000,73069.00000000,1.00000000,0.00136858,73068.50000000,6198291.99925000,5968709.05074000,0.01886931,true,
1780296555281,aster,BTCUSDT,73065.50000000,73066.00000000,0.50000000,0.00068432,73065.75000000,5085164.41100000,5815740.48110000,-0.06701976,true,
1780296556871,lighter,BTC,73052.80000000,73056.40000000,3.60000000,0.00492782,73054.60000000,42794147.14762598,41004115.03874099,0.02136121,true,
1780296561957,hyperliquid,BTC,73071.00000000,73072.00000000,1.00000000,0.00136852,73071.50000000,16522037.74648000,1195699.48424000,0.86502797,true,
1780296562904,aster,BTCUSDT,73093.70000000,73093.80000000,0.10000000,0.00013681,73093.75000000,6343758.11620000,5764717.29070000,0.04782112,true,
1780296564617,lighter,BTC,73091.90000000,73092.30000000,0.40000000,0.00054725,73092.10000000,43394353.14444099,40494635.17004298,0.03456613,true,
1780296569895,hyperliquid,BTC,73131.00000000,73132.00000000,1.00000000,0.00136740,73131.50000000,4611294.35784000,6888399.35996000,-0.19801440,true,
1780296570711,aster,BTCUSDT,73121.50000000,73121.60000000,0.10000000,0.00013676,73121.55000000,7539237.14930000,5729713.53350000,0.13637277,true,
1780296572376,lighter,BTC,73122.70000000,73124.90000000,2.20000000,0.00300860,73123.80000000,41593302.95425497,42112839.21104702,-0.00620667,true,
1780296577528,hyperliquid,BTC,73142.00000000,73143.00000000,1.00000000,0.00136719,73142.50000000,3493427.51820000,5964811.79745000,-0.26129433,true,
1780296578432,aster,BTCUSDT,73130.50000000,73130.60000000,0.10000000,0.00013674,73130.55000000,7395221.05390000,6976897.95590000,0.02910657,true,
1780296580245,lighter,BTC,73137.90000000,73138.00000000,0.10000000,0.00013673,73137.95000000,38879236.18593797,40793807.68593398,-0.02403035,true,
1780296585051,hyperliquid,BTC,73150.00000000,73151.00000000,1.00000000,0.00136704,73150.50000000,2969730.54203000,8605417.21737000,-0.48687816,true,
1780296586289,aster,BTCUSDT,73154.60000000,73157.00000000,2.40000000,0.00328067,73155.80000000,6184503.06320000,7023013.58570000,-0.06348737,true,
1780296588020,lighter,BTC,73144.40000000,73144.70000000,0.30000000,0.00041015,73144.55000000,41721461.04952995,42038794.15929501,-0.00378859,true,
